word1,word2,word3,word4,label,meta_category,original_category
curses,fudge,blast,crud,1,Idioms & Slang,"""aw, heck!"" "
wet,blast,crud,curses,0,Idioms & Slang,Hard Distractor
blast,fudge,blueprint,curses,0,Idioms & Slang,Random Distractor
choral,jazz,rap,americana,1,Fill-in-the-Blank,"""best ___ performance"" grammy award "
americana,rap,choral,romance,0,Fill-in-the-Blank,Hard Distractor
rap,americana,choral,speak,0,Fill-in-the-Blank,Random Distractor
lord,please,sheesh,brother,1,Idioms & Slang,"""give me a break!"""
brother,lord,sheesh,fruit,0,Idioms & Slang,Hard Distractor
please,clearance,lord,sheesh,0,Idioms & Slang,Random Distractor
heavens,gracious,mercy,dear,1,Idioms & Slang,"""my goodness!"""
dear,heavens,bully,mercy,0,Idioms & Slang,Hard Distractor
backdoor,dear,heavens,mercy,0,Idioms & Slang,Random Distractor
piece of cake,no sweat,easy,child’s play,1,Idioms & Slang,"""nothing to it!"""
no sweat,stretch,easy,child’s play,0,Idioms & Slang,Hard Distractor
child’s play,mesh shirt,piece of cake,easy,0,Idioms & Slang,Random Distractor
bumper,rubber,baby,buggy,1,Idioms & Slang,"""rubber baby buggy bumper"""
baby,buggy,nut,rubber,0,Idioms & Slang,Hard Distractor
buggy,rubber,haystack,baby,0,Idioms & Slang,Random Distractor
faster,go,move,hurry,1,Idioms & Slang,"""step on it!"""
go,hurry,dwell,move,0,Idioms & Slang,Hard Distractor
go,move,hurry,yahoo,0,Idioms & Slang,Random Distractor
of course,absolutely,okey-doke,sure thing,1,Idioms & Slang,"""you bet"""
stoop,of course,okey-doke,sure thing,0,Idioms & Slang,Hard Distractor
sure thing,of course,okey-doke,sis,0,Idioms & Slang,Random Distractor
shame,tut tut,tsk,bad,1,Idioms & Slang,"""you should know better!"""
shame,tsk,lottery,bad,0,Idioms & Slang,Hard Distractor
shame,tut tut,tsk,rapids,0,Idioms & Slang,Random Distractor
macho,iron,piano,rocket,1,Fill-in-the-Blank,"""___ man"" songs from the '70s"
iron,laundry,macho,piano,0,Fill-in-the-Blank,Hard Distractor
new york,iron,piano,macho,0,Fill-in-the-Blank,Random Distractor
abracadabra,centerfold,mickey,physical,1,Trivia/Pop Culture,#1 songs from 1982
plum,mickey,physical,abracadabra,0,Trivia/Pop Culture,Hard Distractor
physical,brainstorm,mickey,abracadabra,0,Trivia/Pop Culture,Random Distractor
byrd,beatle,monkee,beach boy,1,Trivia/Pop Culture,'60s band members
pickles,monkee,beatle,beach boy,0,Trivia/Pop Culture,Hard Distractor
monkee,beatle,beach boy,dank,0,Trivia/Pop Culture,Random Distractor
headband,mullet,spandex,neon,1,Trivia/Pop Culture,'80s fashion trends
headband,film series,neon,mullet,0,Trivia/Pop Culture,Hard Distractor
headband,spandex,octopus,mullet,0,Trivia/Pop Culture,Random Distractor
psych,chill,radical,word,1,Trivia/Pop Culture,'80s slang
psych,radical,finale,word,0,Trivia/Pop Culture,Hard Distractor
chill,word,nice,radical,0,Trivia/Pop Culture,Random Distractor
drummer,lady,ring,swan,1,Trivia/Pop Culture,12 days of christmas
drummer,carpenter,ring,lady,0,Trivia/Pop Culture,Hard Distractor
bazaar,swan,ring,drummer,0,Trivia/Pop Culture,Random Distractor
sphere,cone,pyramid,cube,1,Noun/Concept Synonyms,3-d shapes
cube,cone,harmony,sphere,0,Noun/Concept Synonyms,Hard Distractor
sphere,cube,pyramid,aurora,0,Noun/Concept Synonyms,Random Distractor
certain,various,a few,some,1,Descriptor/Adjective Synonyms,a handful of
certain,a few,some,incensed,0,Descriptor/Adjective Synonyms,Hard Distractor
a few,certain,some,vault,0,Descriptor/Adjective Synonyms,Random Distractor
rat,creep,skunk,heel,1,Noun/Concept Synonyms,a real jerk
heel,bumper,skunk,creep,0,Noun/Concept Synonyms,Hard Distractor
skunk,for,rat,heel,0,Noun/Concept Synonyms,Random Distractor
ok,list,rod,plus,1,Fill-in-the-Blank,a-___
bite,rod,list,ok,0,Fill-in-the-Blank,Hard Distractor
irate,list,ok,plus,0,Fill-in-the-Blank,Random Distractor
maroon,strand,dump,desert,1,Noun/Concept Synonyms,abandon
freezing,strand,dump,maroon,0,Noun/Concept Synonyms,Hard Distractor
desert,strand,dump,waterfall,0,Noun/Concept Synonyms,Random Distractor
midsection,trunk,torso,core,1,Noun/Concept Synonyms,abdominal area
swift,core,midsection,torso,0,Noun/Concept Synonyms,Hard Distractor
trunk,torso,clue,core,0,Noun/Concept Synonyms,Random Distractor
facility,gift,knack,flair,1,Idioms & Slang,ability to do something well
facility,knack,ring,flair,0,Idioms & Slang,Hard Distractor
gift,mastodon,knack,flair,0,Idioms & Slang,Random Distractor
utter,pure,sheer,total,1,Noun/Concept Synonyms,absolute
present,pure,utter,total,0,Noun/Concept Synonyms,Hard Distractor
kat,utter,sheer,total,0,Noun/Concept Synonyms,Random Distractor
spare,excuse,save,pardon,1,Noun/Concept Synonyms,absolve
save,spare,scale,pardon,0,Noun/Concept Synonyms,Hard Distractor
excuse,pardon,spare,ire,0,Noun/Concept Synonyms,Random Distractor
pull,wick,suck,draw,1,Noun/Concept Synonyms,absorb using capillary action
reverse,pull,draw,wick,0,Noun/Concept Synonyms,Hard Distractor
canopy,pull,draw,suck,0,Noun/Concept Synonyms,Random Distractor
handy,ready,nearby,available,1,Descriptor/Adjective Synonyms,accessible
nearby,ready,available,could,0,Descriptor/Adjective Synonyms,Hard Distractor
handy,nearby,ready,storm,0,Descriptor/Adjective Synonyms,Random Distractor
tie,bracelet,belt,watch,1,Noun/Concept Synonyms,accessories
halter,belt,watch,bracelet,0,Noun/Concept Synonyms,Hard Distractor
teller,watch,bracelet,belt,0,Noun/Concept Synonyms,Random Distractor
lead,halter,collar,harness,1,Noun/Concept Synonyms,accessories for dog walking
screen,lead,collar,harness,0,Noun/Concept Synonyms,Hard Distractor
lead,collar,glob,halter,0,Noun/Concept Synonyms,Random Distractor
top hat,cane,spat,monocle,1,Noun/Concept Synonyms,accessories for mr. peanut
desert,spat,monocle,top hat,0,Noun/Concept Synonyms,Hard Distractor
psych,monocle,spat,cane,0,Noun/Concept Synonyms,Random Distractor
pick,drumstick,bow,mallet,1,Idioms & Slang,accessories for playing an instrument
bow,drumstick,mallet,fix,0,Idioms & Slang,Hard Distractor
bow,pick,license,mallet,0,Idioms & Slang,Random Distractor
pin,button,badge,brooch,1,Idioms & Slang,accessory with a pointy fastener
board,brooch,badge,pin,0,Idioms & Slang,Hard Distractor
button,badge,brooch,push-up,0,Idioms & Slang,Random Distractor
room,chairs,capacity,seating,1,Noun/Concept Synonyms,accommodation
chairs,capacity,bumper,room,0,Noun/Concept Synonyms,Hard Distractor
tulip,seating,chairs,capacity,0,Noun/Concept Synonyms,Random Distractor
log,ledger,register,record,1,Noun/Concept Synonyms,account book
log,ledger,record,buck,0,Noun/Concept Synonyms,Hard Distractor
affix,register,record,ledger,0,Noun/Concept Synonyms,Random Distractor
best,worst,beat,take,1,Noun/Concept Synonyms,achieve victory over
best,cornichon,take,worst,0,Noun/Concept Synonyms,Hard Distractor
take,faze,best,worst,0,Noun/Concept Synonyms,Random Distractor
goat,bogo,fomo,yolo,1,Noun/Concept Synonyms,acronyms
yolo,bogo,fomo,council,0,Noun/Concept Synonyms,Hard Distractor
fomo,bogo,wendy,yolo,0,Noun/Concept Synonyms,Random Distractor
laser,scuba,radar,spam,1,Noun/Concept Synonyms,acronyms
spam,scuba,fie,radar,0,Noun/Concept Synonyms,Hard Distractor
hour,scuba,spam,laser,0,Noun/Concept Synonyms,Random Distractor
ram,pin,mia,omg,1,Noun/Concept Synonyms,acronyms/initialisms
pin,mia,omg,warrior,0,Noun/Concept Synonyms,Hard Distractor
ram,omg,pin,myrrh,0,Noun/Concept Synonyms,Random Distractor
martial arts,buddy,disaster,superhero,1,Members of a Set/Entities,action film subgenres
martial arts,buddy,superhero,chain,0,Members of a Set/Entities,Hard Distractor
superhero,martial arts,brooklyn bridge,buddy,0,Members of a Set/Entities,Random Distractor
bay,scott,carpenter,woo,1,Trivia/Pop Culture,action movie directors
carpenter,scott,bay,game,0,Trivia/Pop Culture,Hard Distractor
scott,crown,woo,bay,0,Trivia/Pop Culture,Random Distractor
play,discard,draw,pass,1,Noun/Concept Synonyms,actions in card games
discard,island,pass,draw,0,Noun/Concept Synonyms,Hard Distractor
discard,play,pass,killer,0,Noun/Concept Synonyms,Random Distractor
draft,trade,bench,start,1,Members of a Set/Entities,actions in fantasy sports
bench,start,chinatown,draft,0,Members of a Set/Entities,Hard Distractor
start,smoker,draft,bench,0,Members of a Set/Entities,Random Distractor
poker,origami,laundry,baking,1,Noun/Concept Synonyms,activities that involve folding
laundry,heyday,baking,origami,0,Noun/Concept Synonyms,Hard Distractor
truth,poker,baking,origami,0,Noun/Concept Synonyms,Random Distractor
chevy chase,geoffrey rush,christoph waltz,tom cruise,1,Trivia/Pop Culture,actors whose last names are also verbs
princess,christoph waltz,tom cruise,chevy chase,0,Trivia/Pop Culture,Hard Distractor
chevy chase,christoph waltz,soda can,tom cruise,0,Trivia/Pop Culture,Random Distractor
west,ant,scott,driver,1,Noun/Concept Synonyms,adams
ant,west,scott,crisp,0,Noun/Concept Synonyms,Hard Distractor
west,scott,driver,jam,0,Noun/Concept Synonyms,Random Distractor
fashion,tailor,shape,mold,1,Idioms & Slang,adapt to fit one's needs
tailor,melting,mold,shape,0,Idioms & Slang,Hard Distractor
tailor,mold,fashion,waffle iron,0,Idioms & Slang,Random Distractor
extra,bonus,frosting,gravy,1,Noun/Concept Synonyms,additional benefit
bonus,kind,gravy,extra,0,Noun/Concept Synonyms,Hard Distractor
fight,extra,frosting,gravy,0,Noun/Concept Synonyms,Random Distractor
extra,bonus,perk,icing,1,Noun/Concept Synonyms,additional benefit
icing,bonus,perk,sub,0,Noun/Concept Synonyms,Hard Distractor
perk,bonus,curl,extra,0,Noun/Concept Synonyms,Random Distractor
icing,extra,gravy,bonus,1,Noun/Concept Synonyms,additional perk
bonus,gravy,check,extra,0,Noun/Concept Synonyms,Hard Distractor
extra,medicine,icing,gravy,0,Noun/Concept Synonyms,Random Distractor
plaster,stick,fix,paste,1,Noun/Concept Synonyms,adhere
stick,fix,plaster,numbers,0,Noun/Concept Synonyms,Hard Distractor
snickerdoodle,paste,stick,plaster,0,Noun/Concept Synonyms,Random Distractor
pretty,rather,real,awful,1,Descriptor/Adjective Synonyms,adjective intensifiers
pretty,real,utensils,awful,0,Descriptor/Adjective Synonyms,Hard Distractor
awful,opinion,pretty,real,0,Descriptor/Adjective Synonyms,Random Distractor
cold,dark,musty,dank,1,Noun/Concept Synonyms,adjectives for a basement
cold,dank,dark,rough,0,Noun/Concept Synonyms,Hard Distractor
musty,triumph,dank,cold,0,Noun/Concept Synonyms,Random Distractor
lit,scented,wicked,waxy,1,Noun/Concept Synonyms,adjectives for a candle
lit,high-end,scented,wicked,0,Noun/Concept Synonyms,Hard Distractor
scented,waxy,rhythm,wicked,0,Noun/Concept Synonyms,Random Distractor
dry,vast,sandy,hot,1,Noun/Concept Synonyms,adjectives for a desert
sandy,vast,load,dry,0,Noun/Concept Synonyms,Hard Distractor
sandy,cricket,vast,dry,0,Noun/Concept Synonyms,Random Distractor
sporty,compact,sleek,fast,1,Members of a Set/Entities,adjectives for a sports car
sleek,sporty,magnet,fast,0,Members of a Set/Entities,Hard Distractor
sporty,fast,tribute,sleek,0,Members of a Set/Entities,Random Distractor
toxic,frozen,fixed,liquid,1,Noun/Concept Synonyms,adjectives for assets
fixed,faze,frozen,toxic,0,Noun/Concept Synonyms,Hard Distractor
fixed,liquid,frozen,comic,0,Noun/Concept Synonyms,Random Distractor
fresh,dewy,glowing,smooth,1,Noun/Concept Synonyms,adjectives for nice skin
smooth,dewy,glowing,flake,0,Noun/Concept Synonyms,Hard Distractor
smooth,dewy,hard-shell,glowing,0,Noun/Concept Synonyms,Random Distractor
direct,possessive,present,irregular,1,Noun/Concept Synonyms,adjectives used in grammar
present,direct,lit,irregular,0,Noun/Concept Synonyms,Hard Distractor
irregular,present,possessive,faucet,0,Noun/Concept Synonyms,Random Distractor
billboard,sign,poster,banner,1,Action/Verb Synonyms,advertising format
poster,billboard,cinch,sign,0,Action/Verb Synonyms,Hard Distractor
poster,infield,sign,banner,0,Action/Verb Synonyms,Random Distractor
champion,support,back,endorse,1,Noun/Concept Synonyms,advocate for
notice,champion,support,back,0,Noun/Concept Synonyms,Hard Distractor
champion,endorse,support,spelt,0,Noun/Concept Synonyms,Random Distractor
endorse,champion,support,back,1,Noun/Concept Synonyms,advocate for
support,microphone,back,endorse,0,Noun/Concept Synonyms,Hard Distractor
back,endorse,faze,support,0,Noun/Concept Synonyms,Random Distractor
touch,move,sway,reach,1,Noun/Concept Synonyms,affect
reach,sway,touch,comb,0,Noun/Concept Synonyms,Hard Distractor
sway,move,reach,simmer,0,Noun/Concept Synonyms,Random Distractor
complex,hang-up,bugbear,demon,1,Noun/Concept Synonyms,affliction
complex,calm,hang-up,demon,0,Noun/Concept Synonyms,Hard Distractor
cornerstone,bugbear,hang-up,demon,0,Noun/Concept Synonyms,Random Distractor
rich,flush,loaded,wealthy,1,Noun/Concept Synonyms,affluent
flush,warren,wealthy,loaded,0,Noun/Concept Synonyms,Hard Distractor
wealthy,rich,loaded,pandora’s box,0,Noun/Concept Synonyms,Random Distractor
voice,choice,say,vote,1,Noun/Concept Synonyms,agency in decisionmaking
say,vote,choice,reason,0,Noun/Concept Synonyms,Hard Distractor
choice,jackknife,vote,voice,0,Noun/Concept Synonyms,Random Distractor
amount,number,quantity,volume,1,Noun/Concept Synonyms,aggregate size
quantity,amount,volume,pa,0,Noun/Concept Synonyms,Hard Distractor
number,volume,quantity,writer,0,Noun/Concept Synonyms,Random Distractor
first,coach,premium,business,1,Noun/Concept Synonyms,airline classes
business,waxy,coach,premium,0,Noun/Concept Synonyms,Hard Distractor
first,business,premium,prince,0,Noun/Concept Synonyms,Random Distractor
spirit,united,virgin,frontier,1,Noun/Concept Synonyms,airlines
revolution,spirit,virgin,frontier,0,Noun/Concept Synonyms,Hard Distractor
virgin,zebra,spirit,united,0,Noun/Concept Synonyms,Random Distractor
frontier,spirit,southwest,alaska,1,Noun/Concept Synonyms,airlines
frontier,spirit,southwest,guide,0,Noun/Concept Synonyms,Hard Distractor
spirit,mystery,frontier,alaska,0,Noun/Concept Synonyms,Random Distractor
arrival,destination,gate,flight,1,Noun/Concept Synonyms,airport board info
chart,arrival,flight,gate,0,Noun/Concept Synonyms,Hard Distractor
gate,dissolve,flight,destination,0,Noun/Concept Synonyms,Random Distractor
carousel,food court,gate,lounge,1,Noun/Concept Synonyms,airport features
lounge,carousel,gate,case,0,Noun/Concept Synonyms,Hard Distractor
pinky,lounge,food court,gate,0,Noun/Concept Synonyms,Random Distractor
snooze,time set,alarm,hour,1,Noun/Concept Synonyms,alarm clock buttons
regard,alarm,snooze,time set,0,Noun/Concept Synonyms,Hard Distractor
fix,time set,hour,alarm,0,Noun/Concept Synonyms,Random Distractor
recess,hollow,nook,cavity,1,Noun/Concept Synonyms,alcove
hollow,virgin,cavity,recess,0,Noun/Concept Synonyms,Hard Distractor
cavity,gap,nook,recess,0,Noun/Concept Synonyms,Random Distractor
amber,porter,sour,stout,1,Noun/Concept Synonyms,ale styles
porter,stout,press,sour,0,Noun/Concept Synonyms,Hard Distractor
stout,cronut,amber,porter,0,Noun/Concept Synonyms,Random Distractor
flare,sos,alarm,signal,1,Noun/Concept Synonyms,alert
sos,flare,ginger,signal,0,Noun/Concept Synonyms,Hard Distractor
alarm,signal,sos,pest,0,Noun/Concept Synonyms,Random Distractor
power,root,exponent,radical,1,Noun/Concept Synonyms,algebra terms
echo,radical,root,power,0,Noun/Concept Synonyms,Hard Distractor
exponent,root,radical,trombone,0,Noun/Concept Synonyms,Random Distractor
reason,out,defense,excuse,1,Noun/Concept Synonyms,alibi
out,reason,garland,defense,0,Noun/Concept Synonyms,Hard Distractor
defense,excuse,prune,out,0,Noun/Concept Synonyms,Random Distractor
champ,goat,best,legend,1,Noun/Concept Synonyms,all-time great
best,goat,phone,champ,0,Noun/Concept Synonyms,Hard Distractor
lampoon,champ,best,goat,0,Noun/Concept Synonyms,Random Distractor
icon,great,hero,legend,1,Noun/Concept Synonyms,all-timer
lax,icon,legend,great,0,Noun/Concept Synonyms,Hard Distractor
thrill,legend,hero,icon,0,Noun/Concept Synonyms,Random Distractor
association,guild,league,union,1,Noun/Concept Synonyms,alliance
association,combine,union,guild,0,Noun/Concept Synonyms,Hard Distractor
association,union,volumetric,league,0,Noun/Concept Synonyms,Random Distractor
stake,interest,share,percentage,1,Noun/Concept Synonyms,allotment
stake,fling,share,percentage,0,Noun/Concept Synonyms,Hard Distractor
dolittle,stake,share,percentage,0,Noun/Concept Synonyms,Random Distractor
reserved,cool,distant,remote,1,Noun/Concept Synonyms,aloof
crunch,distant,reserved,remote,0,Noun/Concept Synonyms,Hard Distractor
cool,reserved,remote,deadly sin,0,Noun/Concept Synonyms,Random Distractor
besides,to boot,as well,too,1,Noun/Concept Synonyms,also
spread,to boot,besides,too,0,Noun/Concept Synonyms,Hard Distractor
as well,to boot,too,sunset,0,Noun/Concept Synonyms,Random Distractor
doctor,fudge,distort,twist,1,Descriptor/Adjective Synonyms,alter deceptively
fudge,distort,consecutive,twist,0,Descriptor/Adjective Synonyms,Hard Distractor
louisiana,distort,fudge,twist,0,Descriptor/Adjective Synonyms,Random Distractor
cluster,concentrate,group,collect,1,Noun/Concept Synonyms,amass
cluster,concentrate,qualifier,group,0,Noun/Concept Synonyms,Hard Distractor
stretch,collect,concentrate,cluster,0,Noun/Concept Synonyms,Random Distractor
toucan,capybara,anaconda,jaguar,1,Members of a Set/Entities,amazon animals
capybara,toucan,anaconda,wonka,0,Members of a Set/Entities,Hard Distractor
toucan,javelin,anaconda,capybara,0,Members of a Set/Entities,Random Distractor
prime,kindle,rainforest,river,1,Fill-in-the-Blank,amazon ___
kindle,fast,river,rainforest,0,Fill-in-the-Blank,Hard Distractor
rainforest,cope,river,prime,0,Fill-in-the-Blank,Random Distractor
mood,quality,air,feeling,1,Noun/Concept Synonyms,ambience
mood,essence,air,quality,0,Noun/Concept Synonyms,Hard Distractor
air,sting,mood,quality,0,Noun/Concept Synonyms,Random Distractor
easy,open,flexible,receptive,1,Descriptor/Adjective Synonyms,amenable
receptive,agent,open,easy,0,Descriptor/Adjective Synonyms,Hard Distractor
swole,easy,flexible,receptive,0,Descriptor/Adjective Synonyms,Random Distractor
punt,snap,sack,fumble,1,Noun/Concept Synonyms,american football actions
fumble,sack,snap,robin hood,0,Noun/Concept Synonyms,Hard Distractor
mu,sack,punt,fumble,0,Noun/Concept Synonyms,Random Distractor
end,center,safety,tackle,1,Noun/Concept Synonyms,american football positions
end,safety,tackle,nugget,0,Noun/Concept Synonyms,Hard Distractor
center,end,voice,tackle,0,Noun/Concept Synonyms,Random Distractor
pound,olds,frost,bishop,1,Noun/Concept Synonyms,american poets
frost,trash,pound,olds,0,Noun/Concept Synonyms,Hard Distractor
bishop,mortise,frost,olds,0,Noun/Concept Synonyms,Random Distractor
thatch,lock,tuft,shock,1,Noun/Concept Synonyms,amounts of hair
shock,thatch,lock,inhibit,0,Noun/Concept Synonyms,Hard Distractor
thatch,lock,shock,jo,0,Noun/Concept Synonyms,Random Distractor
tilt-a-whirl,merry-go-round,roller coaster,ferris wheel,1,Noun/Concept Synonyms,amusement park rides
merry-go-round,tilt-a-whirl,bmw,roller coaster,0,Noun/Concept Synonyms,Hard Distractor
ferris wheel,tilt-a-whirl,roller coaster,promote,0,Noun/Concept Synonyms,Random Distractor
arts,nope,pone,rats,1,Word Structure/Play,anagrams
nope,pone,marsh,arts,0,Word Structure/Play,Hard Distractor
pone,nope,whim,arts,0,Word Structure/Play,Random Distractor
staple,pleats,tsar,pastel,1,Word Structure/Play,anagrams
staple,pastel,pleats,air,0,Word Structure/Play,Hard Distractor
pleats,tsar,amethyst,pastel,0,Word Structure/Play,Random Distractor
peon,petals,star,open,1,Word Structure/Play,anagrams
petals,star,deli,peon,0,Word Structure/Play,Hard Distractor
all out,peon,petals,open,0,Word Structure/Play,Random Distractor
abel,sera,ares,ears,1,Word Structure/Play,anagrams
sera,ears,abel,beta,0,Word Structure/Play,Hard Distractor
abel,demolition,ares,ears,0,Word Structure/Play,Random Distractor
bela,bale,live,veil,1,Word Structure/Play,anagrams
live,bale,bela,bite,0,Word Structure/Play,Hard Distractor
veil,live,bale,addition,0,Word Structure/Play,Random Distractor
evil,able,sear,vile,1,Word Structure/Play,anagrams
mix,sear,evil,able,0,Word Structure/Play,Hard Distractor
evil,absolutely,sear,vile,0,Word Structure/Play,Random Distractor
tesla,stale,least,slate,1,Word Structure/Play,anagrams
slate,beta,least,stale,0,Word Structure/Play,Hard Distractor
piper,stale,least,slate,0,Word Structure/Play,Random Distractor
monte,dial,yoga,egads,1,Word Structure/Play,anagrams of famous painters
edie,monte,yoga,dial,0,Word Structure/Play,Hard Distractor
monte,yoga,shoehorn,egads,0,Word Structure/Play,Random Distractor
groan,bulge,abut,voila,1,Word Structure/Play,anagrams of musical instruments
bulge,rave,abut,groan,0,Word Structure/Play,Hard Distractor
voila,bulge,groan,strike,0,Word Structure/Play,Random Distractor
noise,static,snow,fuzz,1,Trivia/Pop Culture,analog tv interference
static,snow,saw,fuzz,0,Trivia/Pop Culture,Hard Distractor
takeoff,fuzz,snow,static,0,Trivia/Pop Culture,Random Distractor
clay,papyrus,wax,parchment,1,Noun/Concept Synonyms,ancient writing surfaces
clay,onion,papyrus,parchment,0,Noun/Concept Synonyms,Hard Distractor
wax,papyrus,fraud,parchment,0,Noun/Concept Synonyms,Random Distractor
scales,down,shell,fur,1,Noun/Concept Synonyms,animal coverings
long,down,scales,shell,0,Noun/Concept Synonyms,Hard Distractor
down,haven,fur,scales,0,Noun/Concept Synonyms,Random Distractor
pride,herd,flock,pod,1,Members of a Set/Entities,animal group names
science,herd,pride,flock,0,Members of a Set/Entities,Hard Distractor
pride,herd,ending,pod,0,Members of a Set/Entities,Random Distractor
swarm,pack,colony,school,1,Members of a Set/Entities,animal group names
pack,school,folk,swarm,0,Members of a Set/Entities,Hard Distractor
colony,school,energy,pack,0,Members of a Set/Entities,Random Distractor
pride,pack,swarm,school,1,Members of a Set/Entities,animal group names
dna,pack,swarm,pride,0,Members of a Set/Entities,Hard Distractor
hock,swarm,pack,pride,0,Members of a Set/Entities,Random Distractor
pride,school,herd,colony,1,Noun/Concept Synonyms,animal groups
colony,pride,herd,certificate,0,Noun/Concept Synonyms,Hard Distractor
herd,grease,school,colony,0,Noun/Concept Synonyms,Random Distractor
den,hive,lair,nest,1,Noun/Concept Synonyms,animal homes
hive,cup,den,lair,0,Noun/Concept Synonyms,Hard Distractor
lair,nest,den,mock,0,Noun/Concept Synonyms,Random Distractor
warren,lodge,den,burrow,1,Noun/Concept Synonyms,animal homes
lodge,graf,den,warren,0,Noun/Concept Synonyms,Hard Distractor
lodge,warren,turkey,burrow,0,Noun/Concept Synonyms,Random Distractor
dear,mousse,new,bare,1,Word Structure/Play,animal homophones
maim,new,dear,bare,0,Word Structure/Play,Hard Distractor
new,bottled,mousse,dear,0,Word Structure/Play,Random Distractor
bore,towed,hoarse,links,1,Word Structure/Play,animal homophones
hoarse,towed,bore,u,0,Word Structure/Play,Hard Distractor
towed,ding dong,hoarse,bore,0,Word Structure/Play,Random Distractor
dear,phish,wail,hair,1,Word Structure/Play,animal homophones
wail,dear,kneel,hair,0,Word Structure/Play,Hard Distractor
hair,remainder,phish,wail,0,Word Structure/Play,Random Distractor
bear,hawk,bull,dove,1,Noun/Concept Synonyms,animal metaphors in economics
hawk,bear,bull,watch,0,Noun/Concept Synonyms,Hard Distractor
bear,hawk,syrup,dove,0,Noun/Concept Synonyms,Random Distractor
beak,muzzle,trunk,snout,1,Noun/Concept Synonyms,animal noses
pure,beak,snout,muzzle,0,Noun/Concept Synonyms,Hard Distractor
muzzle,fare,trunk,snout,0,Noun/Concept Synonyms,Random Distractor
meow,oink,buzz,cluck,1,Noun/Concept Synonyms,animal sounds
oink,inquiry,buzz,cluck,0,Noun/Concept Synonyms,Hard Distractor
freeze,buzz,cluck,oink,0,Noun/Concept Synonyms,Random Distractor
tang,reed,drib,flow,1,Members of a Set/Entities,animals backward
chef,reed,drib,flow,0,Members of a Set/Entities,Hard Distractor
grill,tang,reed,flow,0,Members of a Set/Entities,Random Distractor
